"","Item_Identifier","Outlet_Identifier","Iten_Outlet_Sales"
"128","FDW23","OUT018",2200.13693860305
"129","FDM14","OUT018",2200.13693860305
"130","FDM14","OUT013",1844.9318
"131","FDW60","OUT018",2200.13693860305
"132","FDE21","OUT013",1506.0396
"133","NCM42","OUT035",1474.0812
"134","FDY59","OUT010",2200.13693860305
"135","DRI49","OUT049",1489.17266666667
"136","FDT28","OUT019",2200.13693860305
"137","FDQ22","OUT018",2200.13693860305
"138","FDR60","OUT049",559.9378
"139","FDC50","OUT019",285.6282
"140","FDV24","OUT013",1498.05
"141","DRF48","OUT010",2200.13693860305
"142","FDQ47","OUT046",764.560333333333
"143","DRN36","OUT049",1342.2528
"144","NCY06","OUT035",2653.43493333333
"145","FDE52","OUT035",2200.13693860305
"146","NCB54","OUT045",1534.0032
"147","NCF31","OUT035",1707.777
"148","FDJ08","OUT027",2200.13693860305
"149","NCC07","OUT017",1178.19968
"150","NCD19","OUT027",2200.13693860305
"151","FDL46","OUT049",1561.46745
"152","FDM20","OUT045",6125.36
"153","NCI06","OUT010",359.532
"154","DRM11","OUT035",3514.4253
"155","NCH07","OUT018",2200.13693860305
"156","FDS23","OUT013",2184.4898
"157","FDO49","OUT018",2200.13693860305
"158","FDS35","OUT049",1210.92375
"159","DRK39","OUT045",1685.30625
"160","DRI39","OUT049",1018.674
"161","FDV04","OUT017",1288.45616
"162","NCN14","OUT035",2695.1584
"163","FDH08","OUT013",3330.6645
"164","FDS20","OUT046",2918.8672
"165","FDV40","OUT049",842.50332
"166","FDZ48","OUT010",223.7088
"167","FDS24","OUT027",2200.13693860305
"168","FDK44","OUT049",2041.84215
"169","FDS48","OUT045",2257.062
"170","FDK26","OUT010",1304.968
"171","FDD23","OUT045",3648.2511
"172","NCH54","OUT017",2716.464
"173","NCP14","OUT010",2200.13693860305
"174","FDM60","OUT010",2200.13693860305
"175","FDV24","OUT017",1498.05
"176","FDH08","OUT018",2200.13693860305
"177","FDS12","OUT027",2200.13693860305
"178","FDR39","OUT027",2200.13693860305
"179","FDP12","OUT027",2200.13693860305
"180","DRF60","OUT027",2200.13693860305
"181","FDC09","OUT035",1230.3984
"182","FDF50","OUT018",2200.13693860305
"183","FDG28","OUT035",2572.6512
"184","NCE19","OUT017",949.96344
"185","NCM53","OUT010",2200.13693860305
"186","NCN18","OUT049",3094.6384
"187","FDF32","OUT035",2306.997
"188","FDF11","OUT013",3124.5994
"189","DRI59","OUT049",4697.8848
"190","NCG54","OUT035",4021.0991
"191","FDM44","OUT046",1470.58575
"192","FDT57","OUT018",2200.13693860305
"193","FDV24","OUT046",1498.05
"194","FDI50","OUT019",2200.13693860305
"195","FDS09","OUT035",910.8144
"196","NCC31","OUT027",2200.13693860305
"197","FDQ07","OUT019",2200.13693860305
"198","FDC22","OUT017",2847.9595
"199","FDZ56","OUT046",3158.38875
"200","FDZ40","OUT019",2200.13693860305
"201","FDS46","OUT027",2200.13693860305
"202","DRD24","OUT045",2304.50025
"203","FDV45","OUT017",2910.2118
"204","FDL26","OUT045",4050.7272
"205","FDA56","OUT018",2200.13693860305
"206","FDN27","OUT046",1171.808
"207","FDM20","OUT049",6125.36
"208","FDO16","OUT017",1886.43333333333
"209","FDL03","OUT035",2291.46166666667
"210","FDE58","OUT046",2646.77693333333
"211","FDI02","OUT027",2200.13693860305
"212","NCC55","OUT019",2200.13693860305
"213","FDR03","OUT018",2200.13693860305
"214","FDB14","OUT017",2081.73466666667
"215","FDR45","OUT013",6612.94753333333
"216","NCN07","OUT017",1740.13488
"217","FDM51","OUT019",203.7348
"218","FDT52","OUT027",2200.13693860305
"219","FDL26","OUT046",4050.7272
"220","NCZ42","OUT046",4621.9836
"221","DRI47","OUT019",431.4384
"222","FDW40","OUT013",4060.7142
"223","FDN34","OUT046",3593.6555
"224","FDS01","OUT035",2666.529
"225","NCG55","OUT045",2443.04213333333
"226","FDC11","OUT035",1382.8666
"227","FDX35","OUT018",2200.13693860305
"228","NCB06","OUT046",2130.56
"229","FDR09","OUT019",517.9924
"230","FDC53","OUT017",1379.5376
"231","FDY45","OUT013",4005.7857
"232","FDA22","OUT010",2200.13693860305
"233","FDE02","OUT035",1814.9708
"234","FDW21","OUT045",1658.8407
"235","FDV34","OUT046",1182.4608
"236","FDS59","OUT049",2526.711
"237","NCW17","OUT017",3212.485
"238","NCK54","OUT046",1951.62625
"239","FDG17","OUT019",2200.13693860305
"240","FDG35","OUT017",2954.1546
"241","FDD08","OUT010",2200.13693860305
"242","NCO07","OUT017",2876.256
"243","FDJ10","OUT010",2200.13693860305
"244","FDW36","OUT017",1217.4153
"245","FDW21","OUT010",2200.13693860305
"246","FDY19","OUT017",2514.0608
"247","DRE03","OUT013",813.07496
"248","NCC55","OUT049",782.9808
"249","FDH52","OUT010",123.8388
"250","FDO09","OUT017",4602.3425
"251","FDU43","OUT045",3575.346
"252","FDX09","OUT010",176.437
"253","FDH40","OUT019",243.6828
"254","FDW58","OUT017",1693.7952
"255","FDC47","OUT017",5709.235
"256","NCR41","OUT035",1499.54805
"257","DRG49","OUT035",6230.8893
"258","FDC52","OUT027",2200.13693860305
"259","FDY13","OUT046",1607.907
"260","FDY35","OUT013",796.2968
"261","FDI35","OUT017",4059.3826
"262","NCU18","OUT049",2681.8424
"263","FDY33","OUT018",2200.13693860305
"264","FDC15","OUT027",2200.13693860305
"265","FDU01","OUT049",3701.848
"266","NCU42","OUT046",3790.0665
"267","NCV29","OUT018",2200.13693860305
"268","NCY30","OUT017",2942.836
"269","FDQ46","OUT049",1633.07424
"270","FDG58","OUT027",2200.13693860305
"271","FDK33","OUT017",4261.12
"272","NCD07","OUT045",1252.3698
"273","NCX29","OUT027",2200.13693860305
"274","NCT42","OUT013",1976.0944
"275","DRN59","OUT035",636.948666666667
"276","FDI44","OUT035",1493.16746666667
"277","FDA45","OUT049",1881.99466666667
"278","FDP31","OUT045",788.3072
"279","FDY01","OUT046",1881.32886666667
"280","FDT09","OUT018",2200.13693860305
"281","DRH03","OUT027",2200.13693860305
"282","FDA36","OUT018",2200.13693860305
"283","NCF31","OUT017",1707.777
"284","FDG14","OUT049",4022.7636
"285","FDG28","OUT027",2200.13693860305
"286","FDU14","OUT049",3245.775
"287","FDY47","OUT019",129.831
"288","FDI56","OUT049",1793.88713333333
"289","DRD01","OUT013",801.2903
"290","FDM22","OUT046",1225.072
"291","FDH33","OUT013",650.35344
"292","DRZ24","OUT013",2666.529
"293","NCQ38","OUT046",1427.4752
"294","FDO16","OUT027",2200.13693860305
"295","FDU07","OUT027",2200.13693860305
"296","NCB07","OUT013",3142.576
"297","FDU48","OUT045",922.7988
"298","NCM43","OUT045",2229.32033333333
"299","FDR31","OUT010",291.6204
"300","DRK49","OUT018",2200.13693860305
"301","NCI30","OUT010",246.346
"302","DRD60","OUT017",3408.06375
"303","NCG19","OUT046",2343.616
"304","FDH12","OUT035",1633.42933333333
"305","FDM32","OUT035",1168.479
"306","FDM27","OUT035",2445.8163
"307","NCU53","OUT027",2200.13693860305
"308","NCQ18","OUT046",1964.11
"309","FDS10","OUT013",2435.8293
"310","FDB33","OUT027",2200.13693860305
"311","FDI12","OUT013",1142.5128
"312","NCW42","OUT013",4420.912
"313","NCC06","OUT018",2200.13693860305
"314","FDW02","OUT017",2920.64266666667
"315","NCD43","OUT017",788.973
"316","FDM57","OUT018",2200.13693860305
"317","FDA58","OUT017",2199.8032
"318","FDK56","OUT046",3180.5266
"319","FDP52","OUT045",4594.02
"320","FDW20","OUT018",2200.13693860305
"321","FDS52","OUT049",1644.526
"322","NCT29","OUT018",2200.13693860305
"323","NCL54","OUT013",3064.3445
"324","FDC05","OUT045",2759.0752
"325","FDF34","OUT035",2711.58146666667
"326","FDP03","OUT027",2200.13693860305
"327","FDD32","OUT010",2200.13693860305
"328","FDZ10","OUT045",2192.70133333333
"329","FDZ40","OUT035",898.83
"330","FDD51","OUT018",2200.13693860305
"331","NCY30","OUT019",2200.13693860305
"332","FDP58","OUT017",3614.2953
"333","FDV49","OUT017",4361.3229
"334","FDY24","OUT019",161.7894
"335","NCO55","OUT017",2143.876
"336","FDR13","OUT017",1042.6428
"337","FDS51","OUT017",588.2343
"338","FDP26","OUT045",1149.8366
"339","NCB54","OUT027",2200.13693860305
"340","FDF32","OUT017",2306.997
"341","FDN31","OUT018",2200.13693860305
"342","DRM48","OUT017",981.833066666667
"343","FDN20","OUT049",3032.0532
"344","DRL01","OUT046",5024.4597
"345","FDV56","OUT049",755.0172
"346","DRH13","OUT027",2200.13693860305
"347","FDA03","OUT017",2442.32085
"348","FDF47","OUT027",2200.13693860305
"349","FDX32","OUT046",2131.05935
"350","FDX57","OUT049",2008.94053333333
"351","NCA30","OUT045",2789.0362
"352","FDO49","OUT013",834.9132
"353","FDL04","OUT019",2200.13693860305
"354","DRM48","OUT035",981.833066666667
"355","FDR16","OUT013",6304.7931
"356","NCC19","OUT018",2200.13693860305
"357","NCE42","OUT045",2960.1468
"358","FDY24","OUT017",1150.5024
"359","FDH19","OUT049",2432.8332
"360","FDJ46","OUT013",2976.7918
"361","FDN45","OUT010",2200.13693860305
"362","FDY08","OUT035",1826.2894
"363","FDZ37","OUT035",915.8079
"364","NCT30","OUT045",709.077
"365","DRY23","OUT018",2200.13693860305
"366","NCZ30","OUT018",2200.13693860305
"367","FDC44","OUT018",2200.13693860305
"368","FDB45","OUT035",1541.82635
"369","FDY04","OUT013",2202.1335
"370","FDM27","OUT046",2445.8163
"371","FDZ43","OUT017",4523.88906666667
"372","FDT39","OUT019",453.4098
"373","NCC06","OUT019",2200.13693860305
"374","FDL15","OUT027",2200.13693860305
"375","FDL57","OUT017",5554.1036
"376","FDU08","OUT046",843.2357
"377","FDK40","OUT017",4733.838
"378","FDQ12","OUT010",689.103
"379","FDS48","OUT017",2257.062
"380","FDP09","OUT045",4353.9991
"381","FDW21","OUT049",1658.8407
"382","FDY25","OUT035",4346.3424
"383","DRE13","OUT017",1308.297
"384","FDV43","OUT019",2200.13693860305
"385","FDD22","OUT045",3243.7776
"386","FDM46","OUT019",2200.13693860305
"387","NCO30","OUT010",551.2824
"388","FDM25","OUT046",2812.3392
"389","NCN41","OUT049",1847.595
"390","FDU24","OUT045",2097.27
"391","FDZ50","OUT046",4961.5416
"392","FDP45","OUT013",2768.3964
"393","NCM54","OUT045",1589.5975
"394","FDW10","OUT019",529.311
"395","FDP20","OUT017",969.848666666667
"396","FDK32","OUT046",2896.8958
"397","FDN52","OUT049",2200.13693860305
"398","FDM58","OUT045",2404.8696
"399","FDZ46","OUT027",2200.13693860305
"400","NCA18","OUT018",2200.13693860305
"401","FDD35","OUT046",1917.504
"402","NCK31","OUT035",666.4658
"403","FDI40","OUT027",2200.13693860305
"404","FDT50","OUT019",2200.13693860305
"405","NCT06","OUT046",2818.3314
"406","FDT31","OUT035",3025.3952
"407","FDT45","OUT049",1073.71346666667
"408","FDT13","OUT045",3768.428
"409","FDO50","OUT045",1470.0864
"410","NCU18","OUT010",564.5984
"411","NCR54","OUT049",2700.65125
"412","NCO18","OUT018",2200.13693860305
"413","FDU09","OUT045",1255.6988
"414","FDT13","OUT018",2200.13693860305
"415","FDE09","OUT046",1215.7508
"416","NCK53","OUT019",595.2252
"417","FDG45","OUT049",5309.755
"418","DRH15","OUT035",1164.4842
"419","FDO21","OUT019",2200.13693860305
"420","FDD14","OUT027",2200.13693860305
"421","FDC09","OUT046",1230.3984
"422","FDH45","OUT027",2200.13693860305
"423","FDV32","OUT046",1185.95625
"424","FDG12","OUT035",2410.196
"425","FDS32","OUT013",1685.8056
"426","NCL55","OUT018",2200.13693860305
"427","DRE01","OUT035",5331.7264
"428","DRE15","OUT049",1265.02
"429","NCL42","OUT045",5962.01706666667
"430","FDP31","OUT013",788.3072
"431","FDN33","OUT018",2200.13693860305
"432","FDZ59","OUT046",4577.375
"433","FDE45","OUT010",716.4008
"434","FDJ07","OUT013",1747.725
"435","FDQ45","OUT018",2200.13693860305
"436","FDM33","OUT027",2200.13693860305
"437","FDO15","OUT010",221.7114
"438","FDM46","OUT013",1304.968
"439","FDR03","OUT045",4231.159
"440","FDY49","OUT018",2200.13693860305
"441","FDQ60","OUT045",2200.13693860305
"442","FDW10","OUT049",5469.547
"443","FDO51","OUT049",809.6128
"444","FDJ40","OUT018",2200.13693860305
"445","FDS20","OUT018",2200.13693860305
"446","FDU45","OUT013",2561.6655
"447","FDV02","OUT035",3251.1014
"448","FDN09","OUT046",3492.7868
"449","NCM55","OUT027",2200.13693860305
"450","FDN23","OUT018",2200.13693860305
"451","FDY31","OUT010",2200.13693860305
"452","FDW03","OUT010",2200.13693860305
"453","FDD14","OUT046",3135.2522
"454","FDV23","OUT017",1556.3075
"455","DRI03","OUT045",3329.53264
"456","FDN13","OUT035",1206.4296
"457","FDF45","OUT027",2200.13693860305
"458","FDU46","OUT035",1644.526
"459","FDB57","OUT049",3335.658
"460","FDV12","OUT049",2200.69093333333
"461","FDQ58","OUT013",1301.639
"462","NCA18","OUT017",1312.9576
"463","FDH52","OUT049",866.8716
"464","FDM24","OUT018",2200.13693860305
"465","NCP43","OUT027",2200.13693860305
"466","NCO18","OUT019",2200.13693860305
"467","FDM32","OUT017",1168.479
"468","NCL07","OUT017",479.376
"469","FDK03","OUT013",5404.6315
"470","FDP59","OUT017",1454.1072
"471","FDQ24","OUT049",5117.3388
"472","FDQ16","OUT018",2200.13693860305
"473","FDU44","OUT013",3194.95226666667
"474","FDH28","OUT010",37.9506
"475","FDV28","OUT019",67.9116
"476","FDM22","OUT045",1225.072
"477","FDR56","OUT046",3054.6904
"478","FDV39","OUT049",2768.3964
"479","FDU37","OUT019",2200.13693860305
"480","FDQ11","OUT010",256.9988
"481","FDX02","OUT045",4050.7272
"482","NCS42","OUT018",2200.13693860305
"483","FDY57","OUT027",2200.13693860305
"484","FDB21","OUT049",2900.2248
"485","FDE28","OUT017",4607.336
"486","FDQ55","OUT017",2418.8514
"487","FDA48","OUT049",4323.3723
"488","FDZ19","OUT045",2109.2544
"489","NCC43","OUT045",3074.83085
"490","NCV18","OUT046",2829.65
"491","NCA42","OUT018",2200.13693860305
"492","FDY45","OUT046",4005.7857
"493","NCC30","OUT045",2230.43
"494","FDM57","OUT013",1153.4985
"495","FDL09","OUT010",167.7816
"496","FDB09","OUT027",2200.13693860305
"497","FDT44","OUT035",1590.9291
"498","NCT06","OUT027",2200.13693860305
"499","FDX26","OUT049",3238.1183
"500","FDK32","OUT013",2896.8958
"501","DRA12","OUT046",2481.7695
"502","FDO46","OUT010",2200.13693860305
"503","FDE52","OUT013",2200.13693860305
"504","NCH42","OUT045",5053.422
"505","FDV08","OUT035",566.2629
"506","FDB47","OUT018",2200.13693860305
"507","FDC28","OUT010",108.5254
"508","FDD22","OUT046",3243.7776
"509","FDS07","OUT027",2200.13693860305
"510","DRI13","OUT045",3400.46253333333
"511","FDG32","OUT018",2200.13693860305
"512","FDU14","OUT017",3245.775
"513","FDD28","OUT019",2200.13693860305
"514","NCP41","OUT017",970.7364
"515","FDS08","OUT049",1676.1515
"516","FDX47","OUT045",1689.1346
"517","FDC53","OUT019",98.5384
"518","FDQ19","OUT035",3150.5656
"519","FDL14","OUT045",2440.8228
"520","FDM33","OUT019",2200.13693860305
"521","FDA51","OUT045",1480.0734
"522","FDZ27","OUT018",2200.13693860305
"523","FDT04","OUT046",536.856733333333
"524","DRC13","OUT049",1847.595
"525","FDR16","OUT027",2200.13693860305
"526","FDQ03","OUT027",2200.13693860305
"527","FDE38","OUT035",2818.3314
"528","DRH23","OUT027",2200.13693860305
"529","FDT11","OUT019",563.2668
"530","FDD09","OUT035",2852.2872
"531","FDR40","OUT045",1329.2697
"532","FDX07","OUT017",2990.55166666667
"533","FDR07","OUT035",2200.13693860305
"534","FDA51","OUT017",1480.0734
"535","FDT59","OUT019",2200.13693860305
"536","FDF20","OUT017",3251.7672
"537","FDR13","OUT045",1042.6428
"538","FDY26","OUT049",5716.5588
"539","FDW04","OUT017",1428.141
"540","FDK52","OUT017",4288.4178
"541","FDN60","OUT049",2733.4419
"542","FDM09","OUT019",169.779
"543","FDP46","OUT049",1917.504
"544","FDB50","OUT019",2200.13693860305
"545","NCQ29","OUT049",2082.6224
"546","FDP16","OUT027",2200.13693860305
"547","FDX33","OUT018",2200.13693860305
"548","FDP07","OUT010",2200.13693860305
"549","FDN22","OUT046",3355.632
"550","FDF39","OUT049",6487.11133333333
"551","FDS21","OUT017",743.0328
"552","NCM42","OUT013",1474.0812
"553","FDK50","OUT019",2200.13693860305
"554","DRF13","OUT027",2200.13693860305
"555","FDH35","OUT018",2200.13693860305
"556","FDP60","OUT018",2200.13693860305
"557","DRJ49","OUT027",2200.13693860305
"558","NCT42","OUT019",2200.13693860305
"559","FDE38","OUT049",2818.3314
"560","FDI04","OUT049",3509.93115
"561","NCH54","OUT045",2716.464
"562","FDT56","OUT049",434.4345
"563","DRD15","OUT018",2200.13693860305
"564","FDV58","OUT013",2479.4392
"565","FDP21","OUT049",4727.18
"566","FDH05","OUT013",3938.8728
"567","FDR10","OUT027",2200.13693860305
"568","NCP06","OUT045",2002.55995
"569","FDF33","OUT049",2534.7006
"570","DRK37","OUT013",5218.2075
"571","DRH49","OUT045",908.1512
"572","FDT58","OUT013",2013.3792
"573","FDD41","OUT018",2200.13693860305
"574","FDP40","OUT018",2200.13693860305
"575","FDM51","OUT027",2200.13693860305
"576","FDO45","OUT010",2200.13693860305
"577","FDW33","OUT010",2200.13693860305
"578","FDY24","OUT045",1150.5024
"579","FDB10","OUT010",2200.13693860305
"580","FDM40","OUT035",1938.1438
"581","NCI06","OUT017",4613.994
"582","FDW12","OUT019",145.1444
"583","FDX48","OUT027",2200.13693860305
"584","NCW05","OUT027",2200.13693860305
"585","FDX27","OUT017",1575.72666666667
"586","DRM37","OUT045",5255.38133333333
"587","FDA38","OUT045",3364.9532
"588","FDR36","OUT046",702.58545
"589","FDZ45","OUT046",3372.9428
"590","FDG05","OUT017",2086.17333333333
"591","FDK28","OUT013",7343.4411
"592","FDV47","OUT045",1522.0188
"593","FDN21","OUT045",2175.1686
"594","FDP20","OUT027",2200.13693860305
"595","FDI35","OUT045",4059.3826
"596","DRY23","OUT013",543.2928
"597","FDA56","OUT017",2314.9866
"598","FDB09","OUT013",1328.04906666667
"599","NCO26","OUT027",2200.13693860305
"600","FDQ49","OUT018",2200.13693860305
"601","FDI52","OUT027",2200.13693860305
"602","FDZ44","OUT027",2200.13693860305
"603","FDZ09","OUT018",2200.13693860305
"604","FDY03","OUT049",1322.11235
"605","NCG42","OUT017",1979.92275
"606","DRI13","OUT027",2200.13693860305
"607","FDQ32","OUT013",3013.4108
"608","FDW16","OUT035",1684.474
"609","FDU27","OUT046",782.9808
"610","FDR28","OUT010",2200.13693860305
"611","FDQ49","OUT010",469.389
"612","FDS37","OUT046",1737.738
"613","FDW26","OUT018",2200.13693860305
"614","FDX12","OUT018",2200.13693860305
"615","NCP06","OUT013",2002.55995
"616","FDW45","OUT010",2200.13693860305
"617","NCN30","OUT049",836.688666666667
"618","FDN24","OUT049",1128.30906666667
"619","NCL41","OUT027",2200.13693860305
"620","FDR02","OUT019",222.3772
"621","FDD09","OUT010",2200.13693860305
"622","FDS33","OUT010",354.2056
"623","FDU22","OUT045",2873.9257
"624","FDI53","OUT013",1826.06746666667
"625","DRH01","OUT049",2954.1546
"626","FDX32","OUT013",2131.05935
"627","NCP30","OUT018",2200.13693860305
"628","FDB60","OUT045",3499.4448
"629","FDB14","OUT049",2081.73466666667
"630","NCP02","OUT035",592.562
"631","FDJ10","OUT017",2072.13605
"632","FDG34","OUT046",1329.43615
"633","NCB18","OUT017",1948.1308
"634","FDM16","OUT049",1655.1788
"635","FDW25","OUT018",2200.13693860305
"636","FDB35","OUT010",183.7608
"637","DRN11","OUT013",2286.0243
"638","FDF41","OUT019",2200.13693860305
"639","FDH16","OUT045",1280.83275
"640","NCQ50","OUT018",2200.13693860305
"641","DRH23","OUT018",2200.13693860305
"642","DRJ37","OUT013",2732.4432
"643","DRJ24","OUT027",2200.13693860305
"644","FDY16","OUT035",3073.77666666667
"645","FDQ27","OUT045",2270.378
"646","FDZ33","OUT045",2069.3064
"647","FDF29","OUT045",2423.512
"648","FDA08","OUT049",2096.77065
"649","FDG31","OUT046",645.826
"650","FDE34","OUT019",363.5268
"651","NCR30","OUT027",2200.13693860305
"652","FDV33","OUT035",3530.51546666667
"653","DRZ24","OUT018",2200.13693860305
"654","NCL54","OUT035",3064.3445
"655","FDR12","OUT049",2347.6108
"656","NCC54","OUT046",4458.8626
"657","DRN59","OUT013",636.948666666667
"658","FDX50","OUT019",110.5228
"659","FDV31","OUT027",2200.13693860305
"660","NCA29","OUT027",2200.13693860305
"661","FDW60","OUT049",3087.6475
"662","FDX08","OUT017",2285.46946666667
"663","DRD49","OUT013",3634.9351
"664","FDD33","OUT046",3950.1914
"665","FDW35","OUT013",681.61275
"666","FDJ36","OUT017",1401.28706666667
"667","FDV51","OUT035",1823.6262
"668","FDW36","OUT046",1217.4153
"669","FDH35","OUT046",2096.77065
"670","NCS30","OUT027",2200.13693860305
"671","FDN49","OUT017",585.904
"672","FDL08","OUT018",2200.13693860305
"673","FDI09","OUT013",3355.632
"674","FDP19","OUT018",2200.13693860305
"675","FDU21","OUT010",33.9558
"676","NCP41","OUT045",970.7364
"677","FDY10","OUT013",1832.2816
"678","FDP12","OUT018",2200.13693860305
"679","NCN26","OUT049",2255.7304
"680","FDK44","OUT013",2041.84215
"681","FDC28","OUT049",1483.18046666667
"682","FDJ41","OUT027",2200.13693860305
"683","NCT29","OUT035",852.8898
"684","NCH42","OUT019",229.701
"685","FDU60","OUT018",2200.13693860305
"686","FDS02","OUT045",3641.48213333333
"687","FDC51","OUT046",2143.2102
"688","FDU03","OUT013",2918.8672
"689","FDX39","OUT045",4432.2306
"690","NCY05","OUT010",2200.13693860305
"691","NCL06","OUT027",2200.13693860305
"692","FDD32","OUT035",1299.6416
"693","NCN41","OUT045",1847.595
"694","NCX53","OUT049",3545.385
"695","FDU57","OUT019",451.4124
"696","FDQ23","OUT046",2187.37493333333
"697","FDQ52","OUT045",4408.09535
"698","FDC14","OUT045",608.2083
"699","FDY09","OUT035",1751.054
"700","FDQ28","OUT045",2316.984
"701","FDV25","OUT046",5968.2312
"702","FDJ07","OUT035",1747.725
"703","DRB25","OUT049",1750.83206666667
"704","FDK52","OUT019",677.1186
"705","FDY52","OUT027",2200.13693860305
"706","FDB28","OUT046",2372.9112
"707","FDT36","OUT035",670.4606
"708","FDV25","OUT017",5968.2312
"709","NCN07","OUT027",2200.13693860305
"710","FDC57","OUT017",2703.148
"711","FDQ03","OUT018",2200.13693860305
